50.8 20 103 105 2 1 0 0 0 0 0 1 1.4 1 0 2 4 3 20.4 70.8 1 140 80
14.3 -21.2 96 108.7 2 1 0 0 0 0 1 1 6.4 1 21.3 3 5 2 37.8 90.5 2 16.3 42
50.5 35 100 90 2 0 1 0 0 0 0 1 1.3 0 0 2 5 3 51.6 83 3 140 0
46.2 56.3 107 105 2 1 0 0 0 0 0 1 8.2 1 0 3 6 3 52.7 64 2 39.8 60
16 10 103.8 96 3 0 0 0 0 0 0 4 11.6 0 0 3 7 2 55 82.1 2 19.7 35
40 17 100 96 3 1 0 1 0 0 0 2 3.9 1 6 3 6 2 33.5 82 2 42 20
4.4 -25 100 114.3 1 0 0 0 0 0 0 2 2.8 0 70 2 3 2 87.9 55.8 2 11.8 0
18.8 30 101.5 100.8 3 1 0 1 0 0 0 3 5.5 1 2 2 8 3 48.1 97.5 2 27.9 60
14.5 10 95 85 3 1 0 0 0 0 0 3 7.8 1 0 2 7 2 48 54 2 17.6 75
29.3 15 100.5 111 1 0 1 0 0 0 0 2 7.8 0 34.8 3 6 2 45 40 1 14.8 50
28.8 59.5 105 110 3 1 0 0 0 0 0 4 18.9 1 42.3 3 6 1 70.9 51.3 2 21.9 10
42 20 106.3 107 3 1 0 0 0 0 0 2 8.7 1 0 2 6 2 35.6 81.1 3 19.8 85
10.4 0 100 110 2 1 0 1 0 0 0 1 4.1 1 0 2 5 2 38.9 101 2 39.2 90
13 0 100 100 2 1 0 1 0 0 0 2 3.4 1 0 2 5 2 83.6 97 1 63.5 30
24 45 109.8 106.3 3 1 0 0 0 0 0 2 1.2 1 25 3 5 3 23.1 48 2 51.9 50
37 0 100 100 1 1 0 1 0 0 0 1 2.3 0 0 2 6 2 49.6 85.5 2 20.2 60
32.8 56.9 100.2 94 3 1 0 0 0 0 0 4 3.4 1 9.1 3 7 2 39.9 80.9 3 25.9 64
27 -6 101 100 3 1 0 1 0 0 0 4 2.6 1 5.8 3 7 3 57.5 89.2 2 18.9 80
10.3 15 100 100 2 0 0 0 0 0 0 3 4.3 0 20 2 6 2 66 71.3 2 14 60
16.3 39 101 94.5 1 1 0 0 0 0 0 2 6.2 1 12.3 1 6 3 29 86 2 26.1 80
23.8 0 100 107.3 1 0 1 0 0 0 0 1 1.4 0 0 2 6 2 61 95 1 38.7 61
8.8 3.8 92.8 107.8 1 0 0 0 0 0 0 2 5.5 0 33.5 2 6 1 50 72.3 3 19.4 70
43 38.8 102.8 100 2 1 0 0 0 0 1 2 3.8 1 70 2 4 2 46.1 96 2 17 0
47.6 34.6 115.9 94.7 3 1 0 0 0 0 0 4 10.7 1 12.1 3 7 3 46.9 79.3 3 42.4 44
6.8 0 100 105 2 0 1 0 0 0 0 3 8.3 0 2 2 8 2 37.5 100 2 140 70
30.5 65 105 95 3 1 0 0 0 0 0 3 13.7 1 0 2 6 3 34.4 72 3 22.2 35
40.8 12.5 100 95 1 1 0 0 0 0 0 3 5.3 1 6.5 2 6 2 61.5 103.5 2 26.9 61
28.8 10.5 104 97.8 3 1 0 0 0 0 0 3 7.8 1 7.8 1 6 1 20 82.3 2 29.5 80
5.3 50 100 100 1 0 1 0 0 0 0 3 7.4 0 50 2 6 1 45.6 100.6 2 20.2 75
3.7 40 110 110 3 1 0 1 0 0 0 3 4.9 1 16.3 1 6 3 52.7 71.8 3 16.6 75
19.3 57.5 100 85 2 0 0 0 0 0 0 1 2.2 0 0 2 7 2 58.7 100 3 42.9 60
5.8 30 103.8 108 2 0 0 0 0 0 0 3 8.2 0 0 2 6 2 63.9 84.3 2 19.9 60
18 41.5 104.5 123.8 3 0 1 0 0 0 0 3 7 0 2.5 2 6 2 65.7 60.5 2 15.1 82
9.5 -10 95 117.5 1 1 0 1 0 0 0 1 14.8 1 5 2 6 2 37.7 42.5 1 37.7 100
26.8 50 98.8 90 1 0 1 0 0 0 0 1 2.3 0 41.3 1 4 2 41.7 98 2 42.8 90
62.8 5 103 100 2 1 0 0 0 0 0 1 9.6 1 0 2 7 2 55.5 88.3 3 29.7 42
16.5 10 100 102.8 1 1 0 0 0 0 0 2 6.8 1 5 2 7 2 41 91.3 2 18.2 90
7 16 100 106.5 1 0 1 0 0 0 0 2 4.7 0 0 1 6 1 57.7 81.3 1 10.8 60
35.8 3.8 103.5 100 2 0 1 0 0 0 0 2 6.8 0 25 2 6 2 65.1 75.5 2 23 0
8.2 16.5 100 110 3 0 1 0 0 0 0 4 6.6 0 8.7 1 4 1 38.6 83.9 1 26.6 75
