edu hr wage famearn selfempl salaried  married numkid age locunemp
16.0 2165.0 14.5 31427.4 0.0 1.0 0.0 0.0 26.0 9.9 
16.0 2214.0 16.0 35458.3 0.0 1.0 0.0 0.0 27.0 8.8 
12.0 2400.0 11.3 27037.5 0.0 1.0 1.0 0.0 57.0 9.4 
12.0 2400.0 11.6 27935.5 0.0 1.0 1.0 0.0 58.0 8.9 
12.0 1760.0 14.2 25002.6 0.0 1.0 1.0 0.0 59.0 8.1 
17.0 2490.0 13.0 58881.6 0.0 1.0 1.0 0.0 29.0 7.8 
17.0 2650.0 13.6 66346.8 0.0 1.0 1.0 0.0 30.0 7.2 
17.0 2480.0 14.8 71257.5 0.0 1.0 1.0 0.0 31.0 6.7 
12.0 2182.0 11.1 42138.8 0.0 0.0 1.0 3.0 40.0 10.8 
12.0 2080.0 13.2 48435.5 0.0 0.0 1.0 3.0 41.0 10.3 
12.0 2371.0 13.8 53187.4 0.0 0.0 1.0 3.0 42.0 11.7 
16.0 3718.0 18.5 86924.9 1.0 0.0 1.0 0.0 57.0 10.8 
16.0 3120.0 11.2 52379.0 1.0 0.0 1.0 0.0 58.0 10.3 
16.0 3000.0 11.4 53187.4 1.0 1.0 1.0 0.0 59.0 11.7 
15.0 1933.0 20.5 39654.9 0.0 1.0 0.0 1.0 39.0 7.2 
15.0 1864.0 22.5 41903.2 0.0 1.0 0.0 1.0 40.0 6.4 
15.0 1848.0 22.8 42049.9 0.0 1.0 0.0 1.0 41.0 6.1 
9.0 1920.0 6.0 20428.3 0.0 1.0 1.0 2.0 53.0 6.7 
9.0 1920.0 5.8 18041.7 0.0 1.0 1.0 1.0 54.0 5.4 
9.0 1148.0 13.9 23638.8 0.0 1.0 1.0 1.0 55.0 5.3 
17.0 3460.0 16.9 59576.1 0.0 1.0 1.0 2.0 42.0 7.8 
17.0 2988.0 18.3 55289.0 0.0 1.0 1.0 2.0 43.0 7.2 
17.0 3250.0 21.0 70802.9 0.0 1.0 1.0 2.0 44.0 6.7 
16.0 1944.0 30.9 84957.7 0.0 1.0 1.0 0.0 57.0 9.5 
16.0 2200.0 28.6 95446.2 0.0 1.0 1.0 0.0 58.0 8.1 
16.0 1944.0 30.6 83417.9 0.0 1.0 1.0 0.0 59.0 8.2 
16.0 1921.0 34.8 98260.2 0.0 1.0 1.0 0.0 57.0 6.2 
16.0 1808.0 36.7 99753.0 0.0 1.0 1.0 0.0 58.0 5.7 
16.0 1824.0 39.4 107624.9 0.0 1.0 1.0 0.0 59.0 5.0 
12.0 2100.0 13.7 33646.6 1.0 1.0 1.0 2.0 36.0 5.0 
12.0 2008.0 13.3 26771.5 1.0 0.0 1.0 2.0 37.0 5.6 
12.0 1970.0 14.4 45459.3 1.0 1.0 1.0 2.0 38.0 5.0 
15.0 2400.0 57.6 138191.5 0.0 0.0 1.0 2.0 58.0 11.2 
15.0 1960.0 83.1 162957.0 0.0 0.0 1.0 0.0 59.0 9.9 
15.0 2450.0 11.6 28412.1 0.0 0.0 1.0 0.0 60.0 8.8 
17.0 2400.0 16.0 56478.3 1.0 0.0 1.0 2.0 41.0 6.5 
17.0 1909.0 15.3 53543.0 1.0 0.0 1.0 2.0 42.0 5.9 
17.0 2420.0 6.4 43652.3 0.0 0.0 1.0 2.0 43.0 6.0 
16.0 1936.0 19.9 73301.6 0.0 1.0 1.0 2.0 36.0 8.6 
16.0 1905.0 21.6 74910.2 0.0 1.0 1.0 2.0 37.0 7.9 
16.0 1920.0 21.9 79553.8 0.0 1.0 1.0 2.0 38.0 6.7 
16.0 2706.0 10.3 42152.0 0.0 1.0 1.0 0.0 29.0 6.7 
16.0 2706.0 11.3 42285.0 0.0 1.0 1.0 1.0 30.0 5.4 
16.0 2319.0 15.3 45188.8 0.0 1.0 1.0 1.0 31.0 5.3 
10.0 3036.0 9.9 48066.6 1.0 1.0 1.0 0.0 32.0 9.1 
10.0 3120.0 11.2 59362.9 1.0 1.0 1.0 0.0 33.0 9.0 
10.0 3263.0 9.8 57960.6 1.0 1.0 1.0 0.0 34.0 8.1 
12.0 1920.0 6.4 20728.7 0.0 0.0 1.0 1.0 25.0 8.9 
12.0 2020.0 6.9 24443.6 0.0 0.0 1.0 1.0 26.0 8.7 
12.0 1920.0 6.4 22473.9 0.0 0.0 1.0 1.0 27.0 8.7 
13.0 2940.0 9.4 37708.3 1.0 0.0 1.0 0.0 50.0 5.6 
13.0 3430.0 10.5 45825.8 1.0 0.0 1.0 0.0 51.0 5.9 
